num_rooms,m2,price,zip_code,canton_code,street,city
4.5,135,2070,4600,SO,Altmattweg,Olten
3.5,80,1490,3250,BE,Steinweg,Lyss
2.5,71,1550,3015,BE,Weltpoststrasse,Bern
2.5,55,1090,2503,BE,Friedweg,Biel/Bienne
4.0,71,1610,8610,ZH,Burgstrasse,Uster
2.5,80,2390,8126,ZH,Ankenbüel,Zumikon
3.0,79,1570,5417,AG,Rosengartenweg,Untersiggenthal
3.0,54,1550,8046,ZH,Regulastrasse,Zürich
3.5,70,1210,5242,AG,Wyde,Birr
3.0,63,1783,8051,ZH,Blauäcker,Zürich
2.0,53,1686,8051,ZH,Blauäcker,Zürich
5.5,110,1975,8606,ZH,Am Pfisterhölzli,Greifensee
4.5,120,1990,8200,SH,Felsenaustrasse,Schaffhausen
2.0,47,900,9230,SG,Wisentalweg,Flawil
3.0,61,1050,8570,TG,Amriswilerstrasse,Weinfelden
1.5,38,1120,1052,VD,Chemin du Rionzi,Le Mont-sur-Lausanne
4.5,105,1835,2017,NE,Passage Blaise Cendrars,Boudry
5.5,140,2380,2017,NE,Passage Blaise Cendrars,Boudry
1.0,32,845,2000,NE,Rue Frédéric-Carl-de-Marval,NeuchÃ¢tel
5.5,119,2760,1066,VD,Le Grand-Chemin,Epalinges
1.0,39,950,2000,NE,Place Numa-Droz,NeuchÃ¢tel
2.0,68,1475,1020,VD,Chemin de Perrelet,Renens VD
3.5,75,1540,1066,VD,Chemin des Croisettes,Epalinges
4.5,131,2485,6900,TI,Via Tesserete,Massagno
3.5,67,1140,2504,BE,Südstrasse,Biel/Bienne
3.5,67,1220,2504,BE,Schollstrasse,Biel/Bienne
4.0,75,1340,2504,BE,Schollstr.,Biel/Bienne
3.0,62,1125,2504,BE,Schollstr.,Biel/Bienne
3.0,63,1185,2504,BE,Südstrasse,Biel/Bienne
2.5,61,1115,2504,BE,Südstrasse,Biel/Bienne
2.5,61,1931,8053,ZH,Buchzelgstrasse,Zürich
3.5,80,2100,1820,VD,Rue Bonivard,Veytaux
2.5,48,1500,3904,VS,Dammweg,Naters
3.5,75,2300,1008,VD,Avenue du ChÃ¢teau,Prilly
4.5,115,1830,3184,FR,Lohmatte,Wünnewil
4.0,90,1500,6156,LU,Hinter-Wieden,Luthern
4.0,83,1590,3400,BE,Oberburgstrasse,Burgdorf
2.0,55,1160,4500,SO,Florastrasse,Solothurn
3.5,106,1770,4600,SO,Langhagstr.,Olten
2.5,75,950,2540,SO,Solothurnstrasse,Grenchen
3.0,70,1390,5600,AG,Ringstrasse Nord,Lenzburg
4.0,95,1500,5705,AG,Hübel,Hallwil
4.5,120,1800,3427,BE,Feldeggstrasse,Utzenstorf
4.5,100,1780,3612,BE,Ziegeleistrasse,Steffisburg
3.5,89,1480,2540,SO,Schützengasse,Grenchen
3.0,85,1540,6003,LU,Bundesplatz,Luzern
4.5,120,2495,2000,NE,Rue du Musée,NeuchÃ¢tel
3.5,97,1600,5400,AG,Im Brisgi,Baden
3.0,60,1400,3053,BE,Moosgasse,Münchenbuchsee
3.0,85,1085,8212,SH,Durstgrabenstrasse,Neuhausen am Rheinfall
3.5,106,1550,4665,AG,Winkelstrasse,Oftringen
4.0,113,2600,3098,BE,Jennershausweg,Köniz
3.5,80,1190,3534,BE,Dorfstrasse,Signau
2.0,50,1750,8049,ZH,Bauherrenstrasse,Zürich
3.5,78,1810,4153,BL,Hauptstrasse,Reinach BL
7.5,217,4130,4153,BL,Hauptstrasse,Reinach BL
2.5,110,1995,8610,ZH,Schwizerstrasse,Uster
2.5,46,1380,8500,TG,Erchingerstrasse,Frauenfeld
3.5,65,1360,3250,BE,Neumattweg,Lyss
3.5,82,1770,4123,BL,Binningerstrasse,Allschwil
4.5,141,2660,4123,BL,Binningerstrasse,Allschwil
5.5,128,2050,4565,SO,Erlenstrasse,Recherswil
3.5,72,1390,4632,SO,Alte Hauensteinstrasse,Trimbach
4.5,81,1440,3063,BE,Fuchshubelstrasse,Ittigen
3.5,67,1775,8132,ZH,Püntstrasse,Egg b. Zürich
4.5,165,2800,8608,ZH,Bürgstrasse,Bubikon
5.5,168,3160,2502,BE,Höheweg,Biel/Bienne
2.0,50,770,2735,BE,Place de la Gare,Malleray
2.5,52,1100,2502,BE,Murtenstrasse,Biel/Bienne
5.0,136,2070,3250,BE,Feldegg,Lyss
2.5,45,1290,3012,BE,Freiestrasse,Bern
4.5,148,2280,5462,AG,Alte Poststrasse,Siglistorf
3.5,74,1580,3322,BE,Dorniackerstrasse,Urtenen-Schönbühl
2.0,66,1770,3012,BE,Zähringerstr.,Bern
3.0,70,1400,4153,BL,Binningerstr.,Reinach BL
5.5,153,2500,8330,ZH,Steinwiesstr.,Pfäffikon ZH
3.5,93,2290,8610,ZH,Hintere Bahnhofstr.,Uster
1.5,27,860,4600,SO,Mühletalweg,Olten
3.5,69,1270,4625,SO,Bachstr.,Oberbuchsiten
2.5,67,1600,8174,ZH,Buechenstrasse,Stadel b. Niederglatt
1.0,27,1000,3012,BE,Neubrückstrase,Bern
3.5,83,1630,1700,FR,rte Joseph-Chaley,Fribourg
3.5,77,1550,4612,SO,Altmatt,Wangen b. Olten
3.0,70,1450,4143,SO,Wollmattweg,Dornach
5.5,105,2020,5432,AG,Hardstr.,Neuenhof
1.5,48,995,4552,SO,Hauptstrasse,Derendingen
4.5,92,3190,1208,GE,Rue Henri-Mussard,Genève
2.0,31,900,9000,SG,Teufenerstrasse,St. Gallen
4.5,83,1305,9450,SG,Feldwiesenstrasse,Altstätten SG
3.5,69,1760,4127,BL,Hardstrasse,Birsfelden
4.0,98,1500,1920,VS,Place Centrale,Martigny
4.5,102,2140,8620,ZH,Schellerstrasse,Wetzikon ZH
3.5,78,1495,5036,AG,Erlenweg,Oberentfelden
3.5,70,1220,5242,AG,Wyde,Birr
2.5,76,2180,8700,ZH,Obere Bühlstrasse,Küsnacht ZH
2.5,60,1507,8424,ZH,Wildbachstrasse,Embrach
2.0,46,1255,9000,SG,Paradiesstrasse,St. Gallen
4.5,69,1400,9016,SG,Achslenweg,St. Gallen
4.5,100,1780,9500,SG,St. Gallerstrasse,Wil SG
2.0,53,1020,1950,VS,Rue des Creusets,Sion
2.5,55,1175,2000,NE,Rue des Parcs,NeuchÃ¢tel
3.5,82,1495,2017,NE,Passage Blaise Cendrars,Boudry
