num_rooms,m2,price,zip_code,canton_code,street,city
4.5,108,1770,9500,SG,Grubenstrasse,Wil SG
2.5,62,1450,9320,TG,Duboisweg,Arbon
3.5,78,1795,1844,VD,Chemin du Cabinet,Villeneuve VD
3.5,65,1670,9000,SG,"Teufenerstrasse,",St. Gallen
3.5,90,1450,9470,SG,Technikumstrasse,Buchs SG
4.5,90,1364,5013,SO,Schachenrain,Niedergösgen
4.5,125,2605,8174,ZH,Buechenstrasse,Stadel b. Niederglatt
2.0,48,1510,8305,ZH,In Lampitzäckern,Dietlikon
3.0,72,1670,4052,BS,Christoph Merian-Platz,Basel
2.0,70,1530,4054,BS,Oberwilerstrasse,Basel
3.0,78,1795,4125,BS,Im Gehracker,Riehen
4.5,163,2550,6900,TI,Via H. Dunant,Massagno
3.5,98,1510,6900,TI,Via H. Dunant,Massagno
3.5,98,1520,6900,TI,Via H. Dunant,Massagno
3.5,106,1600,6900,TI,Via H. Dunant,Massagno
4.5,105,1815,4418,BL,Am Rüschelbach,Reigoldswil
4.5,95,1440,6900,TI,Via Albano,Massagno
5.0,84,1530,8500,TG,Ringstr.,Frauenfeld
2.0,56,1210,8200,SH,Im Riet,Schaffhausen
4.0,76,1236,8500,TG,Ringstr.,Frauenfeld
5.0,90,3500,1204,GE,Place du Cirque,Genève
4.5,95,1930,8820,ZH,Im Staubeweidli,Wädenswil
4.5,125,1910,1530,VD,Les Sorbiers,Payerne
3.5,101,2220,8640,SG,Neue Jonastrasse,Rapperswil SG
3.0,72,1570,6003,LU,Militärstrasse,Luzern
6.0,185,4490,4052,BS,Gellertstrasse,Basel
4.0,79,1650,4142,BL,Birseckstrasse,Münchenstein
4.5,95,1690,3360,BE,Kappeliweg,Herzogenbuchsee
1.5,39,1431,8052,ZH,Leimgrübelstrasse,Zürich
3.5,69,2120,8200,SH,Fulachstrasse,Schaffhausen
3.5,88,1560,3110,BE,Aeschistrasse,Münsingen
2.5,62,1130,5242,AG,Wyde,Birr
1.0,12,1250,8003,ZH,Aemtlerstrasse,Zürich
3.5,110,1600,9008,SG,Rosenheimstrasse,St. Gallen
3.5,82,1770,9014,SG,Oberstrasse,St. Gallen
3.5,91,1600,8560,TG,Unteräuliweg,Märstetten
1.0,67,720,1024,VD,Chemin des Triaudes,Ecublens VD
3.0,73,1761,1004,VD,Chemin de Pierrefleur,Lausanne
4.0,84,1875,1009,VD,Chemin Fontanettaz,Pully
4.5,98,2540,1018,VD,Av. du Parc-de-la-Rouvraie,Lausanne
3.5,90,1575,2000,NE,Rue du Clos-de-Serrières,Neuchâtel
2.5,68,2090,6003,LU,Schützenstrasse,Luzern
2.5,54,950,2900,JU,Rue des Tilleuls,Porrentruy
3.5,75,1450,5028,AG,Unterdorfstrasse,Ueken
4.5,125,1950,9436,SG,Turnhallestrasse,Balgach SG
4.5,164,2950,1587,VD,Ruelle des Marnes,Constantine
1.0,37,1100,1800,VD,Rue du Conseil,Vevey
2.0,62,1330,5415,AG,Schulstrasse,Nussbaumen AG
3.5,70,2275,4053,BS,Schillerstrasse,Basel
4.5,90,1440,4543,SO,Grabmattstrasse,Deitingen
3.5,80,1800,3210,FR,Allmendstrasse,Kerzers
4.5,80,1220,8756,GL,Wiese,Mitlödi
1.0,39,1790,8002,ZH,Bederstrasse,Zürich
4.5,67,1390,4512,SO,Allmendgasse,Bellach
1.0,45,1310,1006,VD,Avenue Dapples,Lausanne
2.0,65,1260,9000,SG,Seitzstr.,St. Gallen
2.0,52,1530,1006,VD,Avenue Dapples,Lausanne
